CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
22776    16.8235  transceiver              transceiver              convolve(signalVector const*, signalVector const*, signalVector*, ConvType, unsigned int, unsigned int)
21302    15.7347  no-vmlinux               no-vmlinux               /no-vmlinux
8962      6.6198  libstdc++.so.6.0.14      libstdc++.so.6.0.14      /usr/lib/libstdc++.so.6.0.14
5930      4.3802  OpenBTS                  OpenBTS                  ViterbiR2O4::getSoftCostMetrics(unsigned int, float const*, float const*)
4061      2.9997  transceiver              transceiver              sinLookup(float)
3570      2.6370  libc-2.12.2.so           libc-2.12.2.so           memcpy
3492      2.5794  transceiver              transceiver              scaleVector(signalVector&, Complex<float>)
3169      2.3408  libc-2.12.2.so           libc-2.12.2.so           _int_malloc
3134      2.3149  transceiver              transceiver              RadioInterface::radioifyVector(signalVector&, short*, float, bool)
2538      1.8747  transceiver              transceiver              gLoggingLevel(char const*)
2532      1.8703  libc-2.12.2.so           libc-2.12.2.so           malloc
2465      1.8208  transceiver              transceiver              sinc(float)
2377      1.7558  libc-2.12.2.so           libc-2.12.2.so           memcmp
2255      1.6657  libc-2.12.2.so           libc-2.12.2.so           free
2047      1.5120  OpenBTS                  OpenBTS                  ViterbiR2O4::pruneCandidates()
2014      1.4876  transceiver              transceiver              interpolatePoint(signalVector const&, float)
1973      1.4574  transceiver              transceiver              GMSKReverseRotate(signalVector&)
1837      1.3569  libc-2.12.2.so           libc-2.12.2.so           _int_free
1730      1.2779  transceiver              transceiver              RadioInterface::unRadioifyVector(short*, signalVector&)
1653      1.2210  [vectors] (tgid:465 range:0xffff0000-0xffff1000) transceiver              [vectors] (tgid:465 range:0xffff0000-0xffff1000)
1593      1.1767  OpenBTS                  OpenBTS                  ViterbiR2O4::minCost() const
1464      1.0814  transceiver              transceiver              Transceiver::driveReceiveFIFO()
1295      0.9566  OpenBTS                  OpenBTS                  SoftVector::decode(ViterbiR2O4&, BitVector&) const
1284      0.9484  transceiver              transceiver              vectorSlicer(signalVector*)
1265      0.9344  transceiver              transceiver              GMSKRotate(signalVector&)
1239      0.9152  libm-2.12.2.so           libm-2.12.2.so           roundl
864       0.6382  libortp.so.8.0.0         libortp.so.8.0.0         /usr/lib/libortp.so.8.0.0
852       0.6293  OpenBTS                  OpenBTS                  ViterbiR2O4::branchCandidates()
840       0.6205  libgcc_s.so.1            libgcc_s.so.1            /lib/libgcc_s.so.1
812       0.5998  transceiver              transceiver              modulateBurst(BitVector const&, signalVector const&, int, int)
741       0.5473  libuhd.so.003.002        libuhd.so.003.002        convert_item32_1_to_sc16_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int, double)
725       0.5355  OpenBTS                  OpenBTS                  gLoggingLevel(char const*)
724       0.5348  transceiver              transceiver              RadioInterface::driveReceiveRadio()
673       0.4971  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_mutex_lock
613       0.4528  libc-2.12.2.so           libc-2.12.2.so           malloc_consolidate
608       0.4491  libuhd.so.003.002        libuhd.so.003.002        convert_sc16_1_to_item32_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int, double)
577       0.4262  OpenBTS                  OpenBTS                  ARFCNManager::driveRx()
552       0.4077  transceiver              transceiver              peakDetect(signalVector const&, float*, float*)
551       0.4070  transceiver              transceiver              Transceiver::pullRadioVector(GSM::Time&, int&, int&)
527       0.3893  libc-2.12.2.so           libc-2.12.2.so           strlen
522       0.3856  libuhd.so.003.002        libuhd.so.003.002        e100_impl::recv(uhd::ref_vector<void*> const&, unsigned int, uhd::rx_metadata_t&, uhd::io_type_t const&, uhd::device::recv_mode_t, double)
487       0.3597  OpenBTS                  OpenBTS                  SoftVector::sliced() const
479       0.3538  transceiver              transceiver              delayVector(signalVector&, float)
473       0.3494  libc-2.12.2.so           libc-2.12.2.so           Laligned
449       0.3317  asterisk                 asterisk                 /usr/sbin/asterisk
447       0.3302  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_mutex_unlock_usercnt
438       0.3235  transceiver              transceiver              ConfigurationTable::defines(std::string const&) const
437       0.3228  transceiver              transceiver              ConfigurationTable::getStr(std::string const&) const
424       0.3132  transceiver              transceiver              energyDetect(signalVector&, unsigned int, float, float*)
416       0.3073  libboost_thread.so.1.45.0 libboost_thread.so.1.45.0 /usr/lib/libboost_thread.so.1.45.0
406       0.2999  [vectors] (tgid:464 range:0xffff0000-0xffff1000) OpenBTS                  [vectors] (tgid:464 range:0xffff0000-0xffff1000)
351       0.2593  transceiver              transceiver              Transceiver::pushRadioVector(GSM::Time&)
348       0.2571  OpenBTS                  OpenBTS                  ConfigurationTable::defines(std::string const&) const
322       0.2378  OpenBTS                  OpenBTS                  ConfigurationTable::getStr(std::string const&) const
312       0.2305  libc-2.12.2.so           libc-2.12.2.so           strcmp
294       0.2172  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Decoder::deinterleave(int)
265       0.1957  transceiver              transceiver              analyzeTrafficBurst(signalVector&, unsigned int, float, int, Complex<float>*, float*, unsigned int, bool, signalVector**, float*)
253       0.1869  libuhd.so.003.002        libuhd.so.003.002        e100_impl::send(uhd::ref_vector<void const*> const&, unsigned int, uhd::tx_metadata_t const&, uhd::io_type_t const&, uhd::device::send_mode_t, double)
241       0.1780  libm-2.12.2.so           libm-2.12.2.so           __ieee754_log
238       0.1758  transceiver              transceiver              gLookupLevel(char const*)
236       0.1743  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Encoder::interleave(int)
235       0.1736  transceiver              transceiver              Transceiver::addRadioVector(BitVector&, int, GSM::Time&)
235       0.1736  transceiver              transceiver              uhd_device::readSamples(short*, int, bool*, unsigned long long, bool*, unsigned int*)
216       0.1595  transceiver              transceiver              Transceiver::driveTransmitPriorityQueue()
215       0.1588  libm-2.12.2.so           libm-2.12.2.so           floorf
190       0.1403  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Encoder::dispatch()
174       0.1285  transceiver              transceiver              Transceiver::driveTransmitFIFO()
167       0.1234  transceiver              transceiver              uhd_device::writeSamples(short*, int, bool*, unsigned long long, bool)
166       0.1226  libpthread-2.12.2.so     libpthread-2.12.2.so     sendto
164       0.1211  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_disable_asynccancel
158       0.1167  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_signal@@GLIBC_2.4
149       0.1101  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_timedwait@@GLIBC_2.4
146       0.1078  libc-2.12.2.so           libc-2.12.2.so           __offtime
146       0.1078  libpthread-2.12.2.so     libpthread-2.12.2.so     recvfrom
141       0.1041  transceiver              transceiver              _ZSt13__adjust_heapIN9__gnu_cxx17__normal_iteratorIPP11radioVectorSt6vectorIS3_SaIS3_EEEEiS3_14PointerCompareIS2_EEvT_T0_SC_T1_T2_.clone.37
128       0.0945  libc-2.12.2.so           libc-2.12.2.so           poll
127       0.0938  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_mutex_unlock
126       0.0931  transceiver              transceiver              demodulateBurst(signalVector&, signalVector const&, int, Complex<float>, float)
125       0.0923  OpenBTS                  OpenBTS                  gLookupLevel(char const*)
123       0.0909  libuhd.so.003.002        libuhd.so.003.002        recv_packet_demuxer_impl::get_recv_buff(unsigned int, double)
120       0.0886  libm-2.12.2.so           libm-2.12.2.so           floor
119       0.0879  OpenBTS                  OpenBTS                  ARFCNManager::writeHighSide(GSM::TxBurst const&)
119       0.0879  libuhd.so.003.002        libuhd.so.003.002        e100_mmap_zero_copy_impl::get_recv_buff(double)
112       0.0827  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_enable_asynccancel
108       0.0798  libuhd.so.003.002        libuhd.so.003.002        uhd::transport::vrt::if_hdr_unpack_le(unsigned int const*, uhd::transport::vrt::if_packet_info_t&)
107       0.0790  libc-2.12.2.so           libc-2.12.2.so           gettimeofday
98        0.0724  libm-2.12.2.so           libm-2.12.2.so           powl
94        0.0694  libc-2.12.2.so           libc-2.12.2.so           __tz_convert
91        0.0672  libuhd.so.003.002        libuhd.so.003.002        boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
91        0.0672  libuhd.so.003.002        libuhd.so.003.002        uhd::time_spec_t::get_full_secs() const
90        0.0665  libc-2.12.2.so           libc-2.12.2.so           memset
90        0.0665  libuhd.so.003.002        libuhd.so.003.002        uhd::transport::vrt::if_hdr_pack_le(unsigned int*, uhd::transport::vrt::if_packet_info_t&)
89        0.0657  OpenBTS                  OpenBTS                  ViterbiR2O4::step(unsigned int, float const*, float const*)
89        0.0657  transceiver              transceiver              PointerFIFO::get()
88        0.0650  transceiver              transceiver              FIFOServiceLoopAdapter(Transceiver*)
88        0.0650  transceiver              transceiver              Transceiver::expectedCorrType(GSM::Time)
82        0.0606  transceiver              transceiver              VectorQueue::getStaleBurst(GSM::Time const&)
81        0.0598  libc-2.12.2.so           libc-2.12.2.so           __libc_disable_asynccancel
80        0.0591  transceiver              transceiver              GSM::FNDelta(int, int)
79        0.0584  libm-2.12.2.so           libm-2.12.2.so           __ieee754_pow
79        0.0584  libuhd.so.003.002        libuhd.so.003.002        uhd::time_spec_t::get_tick_count(double) const
75        0.0554  OpenBTS                  OpenBTS                  ARFCNManager::receiveBurst(GSM::RxBurst const&)
74        0.0547  libuhd.so.003.002        libuhd.so.003.002        _ZN5boost9date_time14microsec_clockINS_10posix_time5ptimeEE11create_timeEPFP2tmPKlS6_E.clone.564
73        0.0539  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Decoder::decodeTCH(bool)
72        0.0532  libpthread-2.12.2.so     libpthread-2.12.2.so     write
72        0.0532  transceiver              transceiver              RadioInterface::driveTransmitRadio(signalVector&, bool)
71        0.0524  transceiver              transceiver              RadioInterface::pushBuffer()
68        0.0502  libc-2.12.2.so           libc-2.12.2.so           ____strtol_l_internal
67        0.0495  OpenBTS                  OpenBTS                  BitVector::encode(ViterbiR2O4 const&, BitVector&)
67        0.0495  libuhd.so.003.002        libuhd.so.003.002        boost::detail::function::function_obj_invoker1<boost::_bi::bind_t<boost::intrusive_ptr<uhd::transport::managed_recv_buffer>, boost::_mfi::mf2<boost::intrusive_ptr<uhd::transport::managed_recv_buffer>, uhd::usrp::recv_packet_demuxer, unsigned int, double>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<uhd::usrp::recv_packet_demuxer> >, boost::_bi::value<unsigned int>, boost::arg<1> > >, boost::intrusive_ptr<uhd::transport::managed_recv_buffer>, double>::invoke(boost::detail::function::function_buffer&, double)
66        0.0488  transceiver              transceiver              RadioInterface::pullBuffer()
64        0.0473  OpenBTS                  OpenBTS                  GSM::Z100Timer::expired() const
64        0.0473  libc-2.12.2.so           libc-2.12.2.so           Llastword
62        0.0458  libuhd.so.003.002        libuhd.so.003.002        void boost::this_thread::sleep<boost::date_time::subsecond_duration<boost::posix_time::time_duration, 1000ll> >(boost::date_time::subsecond_duration<boost::posix_time::time_duration, 1000ll> const&)
61        0.0451  OpenBTS                  OpenBTS                  DatagramSocket::write(char const*, unsigned int)
61        0.0451  libuhd.so.003.002        libuhd.so.003.002        e100_impl::io_impl::handle_irq()
61        0.0451  libuhd.so.003.002        libuhd.so.003.002        uhd::io_type_t::io_type_t(uhd::io_type_t::tid_t)
61        0.0451  transceiver              transceiver              smpl_buf::write(void*, unsigned int, unsigned long long)
59        0.0436  libm-2.12.2.so           libm-2.12.2.so           __ieee754_log10
59        0.0436  libpthread-2.12.2.so     libpthread-2.12.2.so     __lll_lock_wait
58        0.0428  OpenBTS                  OpenBTS                  GSM::L1Encoder::rollForward()
57        0.0421  libm-2.12.2.so           libm-2.12.2.so           log10l
54        0.0399  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_getspecific
54        0.0399  transceiver              transceiver              DatagramSocket::read(char*)
53        0.0391  chan_sip.so              chan_sip.so              /usr/lib/asterisk/modules/chan_sip.so
52        0.0384  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Decoder::processBurst(GSM::RxBurst const&)
52        0.0384  transceiver              transceiver              PointerFIFO::put(void*)
51        0.0377  transceiver              transceiver              GSM::FNCompare(int, int)
51        0.0377  transceiver              transceiver              PointerFIFO::allocate()
50        0.0369  OpenBTS                  OpenBTS                  updateCallTraffic(Control::TransactionEntry&, GSM::TCHFACCHLogicalChannel*)
50        0.0369  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_once
50        0.0369  libuhd.so.003.002        libuhd.so.003.002        boost::detail::function::function_obj_invoker1<boost::_bi::bind_t<boost::intrusive_ptr<uhd::transport::managed_send_buffer>, boost::_mfi::mf1<boost::intrusive_ptr<uhd::transport::managed_send_buffer>, uhd::transport::zero_copy_if, double>, boost::_bi::list2<boost::_bi::value<boost::shared_ptr<uhd::transport::zero_copy_if> >, boost::arg<1> > >, boost::intrusive_ptr<uhd::transport::managed_send_buffer>, double>::invoke(boost::detail::function::function_buffer&, double)
49        0.0362  libm-2.12.2.so           libm-2.12.2.so           roundf
48        0.0355  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_wait@@GLIBC_2.4
47        0.0347  OpenBTS                  OpenBTS                  Timeval::future(unsigned int)
47        0.0347  libc-2.12.2.so           libc-2.12.2.so           nanosleep
